x;y;tempo;invert
7921;7921;0.22400;1
7931;7931;0.22400;1
7941;7941;0.22900;1
7951;7951;0.22000;1
7961;7961;0.26400;1
7971;7971;0.22000;1
7981;7981;0.25600;1
7991;7991;0.43300;1
8001;8001;0.22500;1
8011;8011;0.22400;1
8021;8021;0.22400;1
8031;8031;0.22800;1
8041;8041;0.22800;1
8051;8051;0.22100;1
8061;8061;0.23200;1
8071;8071;0.22400;1
8081;8081;0.22900;1
8091;8091;0.22400;1
8101;8101;0.22800;1
8111;8111;0.22800;1
8121;8121;0.22800;1
8131;8131;0.22800;1
8141;8141;0.24100;1
8151;8151;0.28800;1
8161;8161;0.23700;1
8171;8171;0.23200;1
8181;8181;0.23600;1
8191;8191;0.23200;1
8201;8201;0.23600;1
8211;8211;0.33200;1
8221;8221;0.23700;1
8231;8231;0.24100;1
8241;8241;0.25200;1
8251;8251;0.24000;1
8261;8261;0.24400;1
8271;8271;0.34000;1
8281;8281;0.24400;1
8291;8291;0.24000;1
8301;8301;0.32000;1
8311;8311;0.24400;1
8321;8321;0.24900;1
8331;8331;0.32000;1
8341;8341;0.26500;1
8351;8351;0.25600;1
8361;8361;0.38400;1
8371;8371;0.34000;1
8381;8381;0.24400;1
8391;8391;0.24600;1
8401;8401;0.24400;1
8411;8411;0.24800;1
8421;8421;0.26000;1
8431;8431;0.24900;1
8441;8441;0.24800;1
8451;8451;0.24800;1
8461;8461;0.25200;1
8471;8471;0.24900;1
8481;8481;0.25200;1
8491;8491;0.25600;1
8501;8501;0.29200;1
8511;8511;0.26900;1
8521;8521;0.27700;1
8531;8531;0.25600;1
8541;8541;0.25600;1
8551;8551;0.25600;1
8561;8561;0.25600;1
8571;8571;0.26000;1
8581;8581;0.25600;1
8591;8591;0.26000;1
8601;8601;0.25600;1
8611;8611;0.26000;1
8621;8621;0.25700;1
8631;8631;0.26100;1
8641;8641;0.33200;1
8651;8651;0.26400;1
8661;8661;0.26000;1
8671;8671;0.26000;1
8681;8681;0.26400;1
8691;8691;0.26900;1
8701;8701;0.26400;1
