x;y;tempo;inverso
6971;6971; 0.71;1
6981;6981; 0.67;1
6991;6991; 0.65;1
7001;7001; 0.65;1
7011;7011; 0.66;1
7021;7021; 0.68;1
7031;7031; 0.66;1
7041;7041; 0.67;1
7051;7051; 0.86;1
7061;7061; 0.73;1
7071;7071; 0.67;1
7081;7081; 0.67;1
7091;7091; 0.68;1
7101;7101; 0.67;1
7111;7111; 0.68;1
7121;7121; 0.70;1
7131;7131; 0.71;1
7141;7141; 0.69;1
7151;7151; 0.68;1
7161;7161; 0.69;1
7171;7171; 0.69;1
7181;7181; 0.69;1
7191;7191; 0.79;1
7201;7201; 0.73;1
7211;7211; 0.73;1
7221;7221; 0.71;1
7231;7231; 0.71;1
7241;7241; 0.70;1
7251;7251; 0.71;1
7261;7261; 0.72;1
7271;7271; 0.73;1
7281;7281; 0.75;1
7291;7291; 0.71;1
7301;7301; 0.74;1
7311;7311; 0.77;1
7321;7321; 0.86;1
7331;7331; 0.76;1
7341;7341; 0.73;1
7351;7351; 0.73;1
7361;7361; 0.75;1
7371;7371; 0.73;1
7381;7381; 0.73;1
7391;7391; 0.74;1
7401;7401; 0.74;1
7411;7411; 0.74;1
7421;7421; 0.75;1
7431;7431; 0.74;1
7441;7441; 0.74;1
7451;7451; 0.75;1
7461;7461; 0.75;1
7471;7471; 0.78;1
7481;7481; 0.78;1
7491;7491; 0.76;1
7501;7501; 0.96;1
7511;7511; 0.77;1
7521;7521; 0.81;1
7531;7531; 1.10;1
7541;7541; 0.78;1
7551;7551; 0.85;1
7561;7561; 0.99;1
7571;7571; 0.95;1
7581;7581; 0.83;1
7591;7591; 1.02;1
7601;7601; 0.93;1
7611;7611; 1.01;1
7621;7621; 0.90;1
7631;7631; 0.82;1
7641;7641; 0.95;1
7651;7651; 0.84;1
7661;7661; 0.84;1
7671;7671; 1.23;1
7681;7681; 0.86;1
7691;7691; 0.82;1
7701;7701; 0.81;1
7711;7711; 0.86;1
7721;7721; 0.84;1
7731;7731; 0.88;1
7741;7741; 0.82;1
7751;7751; 0.82;1
7761;7761; 1.33;1
7771;7771; 0.92;1
7781;7781; 0.88;1
7791;7791; 0.89;1
7801;7801; 0.90;1
7811;7811; 0.88;1
7821;7821; 0.97;1
7831;7831; 0.85;1
7841;7841; 0.88;1
